,AsOfDt,MDM_SEC_ID,AnalyticTypeID,FVPrice,AccruedInt,YTM,YTC,YTW,CY,Spread,DM,DM_At_Call,DM_At_Worst,Duration,Convexity,TypeWorstYield,Spread_At_Call,Duration_At_Call,Convexity_At_Call,Price_At_Worst,Spread_At_Worst,Spread_Local,Duration_At_Worst,Convexity_At_Worst,Workout_Date_Maturity,Workout_Date_Call,Workout_Date_Worst,Spread_At_Call_Local,Spread_At_Worst_Local,Current_Factor,YTC_Date,YTW_Date,WAL,Years_To_Maturity,ConversionPremium,DM1,DM2,DM3,DM4,DM5,YTP,YTP_Date,YTPM,InvestmentPremium,OAS,EffectiveDuration,EffectiveConvexity,InputValue,InputType,YTM1,YTM2,YTM3,YTM4,YTM5,WorstYieldNum,ZSpread,WAL_To_Call,WAL_To_Worst,IWAL,IWAL_To_Call,IWAL_To_Worst,YTE,InputStockPrice,MaxCalc,InsertDt,UpdateDt,UpdatedBy,OASSpreadDuration,OASSpreadConvexity,AdjustedEffectiveDuration,FA_YTM,FA_YTC,FA_YTW,FA_CY,FA_Spread,FA_DM,FA_Duration,FA_Convexity,FA_HazardRate,FA_Spread_At_Call,FA_Duration_At_Call,FA_Convexity_At_Call,FA_DM_At_Call,FA_Price_At_Worst,FA_Spread_At_Worst,FA_Spread_Local,FA_Duration_At_Worst,FA_Convexity_At_Worst,FA_DM_At_Worst,FA_Workout_Date_Maturity,FA_Workout_Date_Call,FA_Workout_Date_Worst,FA_Spread_At_Call_Local,FA_Spread_At_Worst_Local,FA_Current_Factor,FA_YTC_Date,FA_YTW_Date,FA_WAL,FA_WAL_To_Worst,FA_IWAL,FA_ZSpread_To_Worst,FA_FVPrice,FA_ZSpread,ZSpread1,ZSpread2,ZSpread3,ZSpread4,ZSpread5,FA_ZSpread1,FA_ZSpread2,FA_ZSpread3,FA_ZSpread4,FA_ZSpread5,FA_DM1,FA_DM2,FA_DM3,FA_DM4,FA_DM5,FA_YTM1,FA_YTM2,FA_YTM3,FA_YTM4,FA_YTM5,KRD_3MO,KRD_6MO,KRD_1YR,KRD_2YR,KRD_3YR,KRD_4YR,KRD_5YR,KRD_6YR,KRD_7YR,KRD_8YR,KRD_9YR,KRD_10YR,KRD_15YR,KRD_20YR,KRD_25YR,KRD_30YR,KRD_1MO,ZSpreadDuration,ZSpreadDuration1,ZSpreadDuration2,ZSpreadDuration3,ZSpreadDuration4,ZSpreadDuration5,FA_ZSpreadDuration,FA_ZSpreadDuration1,FA_ZSpreadDuration2,FA_ZSpreadDuration3,FA_ZSpreadDuration4,FA_ZSpreadDuration5,ZSpreadDuration_90Days,DM_90Days,ZSpread_90Days,YTM_90Days,FA_ZSpreadDuration_90Days,FA_DM_90Days,FA_ZSpread_90Days,FA_YTM_90Days,FA_Duration3,FA_WAL3,IsSwap,FirstCouponIndex,FirstCouponMargin,FirstCouponAllInRate,IR_Duration,IR_Duration3
10,1/25/2023,4649,5,,0.616589417,,,,,,,,,,,,,,,,,,,,45260,44980.0,,,,,2/23/2023,,0.858333333,0.845995,,,,,,,,,,,,,,,0,,,,,,,,0.080555556,,0.503752437,,,,,,05:55.7,06:57.3,svcMDMUI,,,,,,,,,,,,,,,,,,,,,,,45260,44980.0,,,,,2/23/2023,,0.858333333,,0.510476748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.858333333,0,0.0472643,0.02,0.0672643,,
11,1/25/2023,5316,5,78.333,1.04625,0.435125194,4.606294507,0.435125194,0.089042932,3896.142385,4153.751936,45865.44507,4153.751936,0.090189111,0.000284693,0.0,45617.33793,0.037440297,5.75e-05,100.0,3896.142385,4082.59525,0.090189111,0.000284693,45211,44980.0,45211.0,45871.30386,4082.59525,,2/23/2023,10/12/2023,0.722222222,0.711841,,4153.751936,4153.751936,4153.751936,4153.751936,4153.751936,,,,,3936.258031,0.06607682,1.93e-05,78.333,0,0.435125194,0.435125194,0.435125194,0.435125194,0.435125194,,4069.05437,0.080555556,0.722222222,0.403892428,,,3.8e-09,,,05:56.0,06:58.4,svcMDMUI,0.70825854,,,0.442474741,4.606294507,0.442474741,0.089042932,3969.63786,4227.247411,0.090039904,0.000283752,,45617.33793,0.037440297,5.75e-05,45865.44507,100.0,3969.63786,4156.090725,0.090039904,0.000283752,4227.247411,45211,44980.0,45211.0,45871.30386,4156.090725,,2/23/2023,10/12/2023,0.722222222,0.722222222,0.415398234,4142.576653,78.333,4142.576653,4069.05437,4069.05437,4069.05437,4069.05437,4069.05437,4142.576653,4142.576653,4142.576653,4142.576653,4142.576653,4227.247411,4227.247411,4227.247411,4227.247411,4227.247411,0.442474741,0.442474741,0.442474741,0.442474741,0.442474741,-0.012870203,-0.028176615,0.001746236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105377401,0.639797099,0.639797099,0.639797099,0.639797099,0.639797099,0.639797099,0.638075689,0.638075689,0.638075689,0.638075689,0.638075689,0.638075689,0.192761721,1.174857592,1.169911576,1.194607592,0.192621075,1.178668895,1.173722862,1.198418895,0.090039904,0.722222222,0,0.01975,0.05,0.06975,-0.000389334,-0.000389334
12,1/25/2023,5429,5,74.333,0.699666667,0.399845089,,0.399845089,0.084713384,3552.919595,3793.750891,3793.750891,3793.750891,0.126267072,0.000446415,0.0,,,,100.0,3552.919595,3721.779453,0.126267072,0.000446415,45294,,45294.0,,3721.779453,,,1/3/2024,0.952777778,0.939082,,3793.750891,3793.750891,3793.750891,3793.750891,3793.750891,,,,,3612.952545,0.072967801,0.000504172,74.333,0,0.399845089,0.399845089,0.399845089,0.399845089,0.399845089,,3701.04055,,0.952777778,0.542798085,,,3.8e-09,,,05:56.2,06:58.2,svcMDMUI,0.926740483,,,0.40768564,,0.40768564,0.084713384,3631.325106,3872.156401,0.126042463,0.000444828,,,,,3872.156401,100.0,3631.325106,3800.184964,0.126042463,0.000444828,3872.156401,45294,,45294.0,,3800.184964,,,1/3/2024,0.952777778,0.952777778,0.55908309,3779.503753,74.333,3779.503753,3701.04055,3701.04055,3701.04055,3701.04055,3701.04055,3779.503753,3779.503753,3779.503753,3779.503753,3779.503753,3872.156401,3872.156401,3872.156401,3872.156401,3872.156401,0.40768564,0.40768564,0.40768564,0.40768564,0.40768564,0.02541327,-0.032969542,-0.008269858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088793931,0.844652909,0.844652909,0.844652909,0.844652909,0.844652909,0.844652909,0.841779638,0.841779638,0.841779638,0.841779638,0.841779638,0.841779638,0.844652909,0.379375089,0.370104055,0.399845089,0.841779638,0.38721564,0.377950375,0.40768564,0.126042463,0.952777778,0,0.02047,0.0425,0.06297,-0.006977868,-0.006977868
13,1/25/2023,5718,5,,0.921218833,,,,,,,,,,,,,,,,,,,,45766,44980.0,,,,,2/23/2023,,2.263888889,2.231348,,,,,,,,,,,,,,,0,,,,,,,,0.080555556,,1.209977725,,,,,,05:56.4,06:59.6,svcMDMUI,,,,,,,,,,,,,,,,,,,,,,,45766,44980.0,,,,,2/23/2023,,2.263888889,,1.159034216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.263888889,0,0.043099824,0.055,0.098099824,,
14,1/25/2023,5719,5,,1.055095556,,,,,,,,,,,,,,,,,,,,45219,44980.0,,,,,2/23/2023,,0.744444444,0.733744,,,,,,,,,,,,,,,0,,,,,,,,0.080555556,,0.43474026,,,,,,05:56.5,07:00.3,svcMDMUI,,,,,,,,,,,,,,,,,,,,,,,45219,44980.0,,,,,2/23/2023,,0.744444444,,0.438484089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744444444,0,0.0474586,0.0475,0.0949586,,
15,1/25/2023,5790,5,,1.1973855,,,,,,,,,,,,,,,,,,,,45310,44980.0,,,,,2/23/2023,,0.997222222,0.982888,,,,,,,,,,,,,,,0,,,,,,,,0.080555556,,0.543375034,,,,,,05:56.7,07:00.0,svcMDMUI,,,,,,,,,,,,,,,,,,,,,,,45310,44980.0,,,,,2/23/2023,,0.997222222,,0.551079647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997222222,0,0.0473257,0.0325,0.0798257,,
16,1/25/2023,5891,5,,1.0098855,,,,,,,,,,,,,,,,,,,,45325,44980.0,,,,,2/23/2023,,1.038888889,1.023956,,,,,,,,,,,,,,,0,,,,,,,,0.080555556,,0.565414071,,,,,,05:56.8,07:00.3,svcMDMUI,,,,,,,,,,,,,,,,,,,,,,,45325,44980.0,,,,,2/23/2023,,1.038888889,,0.574883656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.038888889,0,0.0473257,0.02,0.0673257,,
17,1/25/2023,5908,5,,0.964685333,,,,,,,,,,,,,,,,,,,,45329,44980.0,,,,,2/23/2023,,1.05,1.034907,,,,,,,,,,,,,,,0,,,,,,,,0.080555556,,0.579062337,,,,,,05:57.0,07:00.9,svcMDMUI,,,,,,,,,,,,,,,,,,,,,,,45329,44980.0,,,,,2/23/2023,,1.05,,0.5878026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,0,0.0473514,0.025,0.0723514,,
18,1/25/2023,5952,5,,0.875257,,,,,,,,,,,,,,,,,,,,45280,44980.0,,,,,2/23/2023,,0.913888889,0.900752,,,,,,,,,,,,,,,0,,,,,,,,0.080555556,,0.53369102,,,,,,05:57.2,07:01.1,svcMDMUI,,,,,,,,,,,,,,,,,,,,,,,45280,44980.0,,,,,2/23/2023,,0.913888889,,0.538931031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.913888889,0,0.0475257,0.04,0.0875257,,
19,1/25/2023,5994,5,76.625,0.48255,0.48101139,5.244242678,0.435614977,0.083967374,4353.734517,4591.713895,52224.02678,4137.749765,0.156214734,0.000592645,1.0,51996.81964,0.03485653,4.9856e-05,100.0,3903.233367,4543.608915,0.157813517,0.000604838,45200,44980.0,45230.0,52250.78557,4083.320339,,2/23/2023,10/31/2023,0.691666667,0.681724,,4591.713895,4591.713895,4591.713895,4591.713895,4591.713895,,,,,,,,76.625,0,0.48101139,0.48101139,0.48101139,0.48101139,0.48101139,,4530.088765,0.080555556,0.775,0.434299517,,,3.8e-09,,,05:57.4,07:00.8,svcMDMUI,,,,0.485690775,5.244242678,0.440861901,0.083967374,4400.528367,4638.507746,0.156051773,0.00059141,,51996.81964,0.03485653,4.9856e-05,52224.02678,100.0,3955.702611,4590.402766,0.157627059,0.00060341,4190.219009,45200,44980.0,45230.0,52250.78557,4135.789583,,2/23/2023,10/31/2023,0.691666667,0.775,0.446813933,4122.408717,76.625,4576.881833,4530.088765,4530.088765,4530.088765,4530.088765,4530.088765,4576.881833,4576.881833,4576.881833,4576.881833,4576.881833,4638.507746,4638.507746,4638.507746,4638.507746,4638.507746,0.485690775,0.485690775,0.485690775,0.485690775,0.485690775,,,,,,,,,,,,,,,,,,0.608165308,0.608165308,0.608165308,0.608165308,0.608165308,0.608165308,0.607438183,0.607438183,0.607438183,0.607438183,0.607438183,0.607438183,0.188770622,1.281561781,1.27870303,1.303401781,0.188730513,1.282692948,1.279834189,1.304532948,0.156051773,0.691666667,0,0.02184,0.0425,0.06434,0.085370747,0.085370747
